Price,Close,High,Low,Open,Volume
Ticker,ALFEN.AS,ALFEN.AS,ALFEN.AS,ALFEN.AS,ALFEN.AS
Date,,,,,
2025-11-11,10.694999694824219,10.755000114440918,10.335000038146973,10.529999732971191,274714
2025-11-12,10.359999656677246,10.720000267028809,10.34000015258789,10.600000381469727,192491
2025-11-13,10.130000114440918,10.5,10.03499984741211,10.479999542236328,315877
2025-11-14,9.831999778747559,10.045000076293945,9.62399959564209,10.045000076293945,434960
2025-11-17,10.220000267028809,10.489999771118164,9.84000015258789,9.845999717712402,655832
2025-11-18,9.819999694824219,10.34000015258789,9.704000473022461,10.074999809265137,476897
2025-11-19,9.87600040435791,9.984000205993652,9.779999732971191,9.800000190734863,274292
2025-11-20,10.079999923706055,10.260000228881836,9.890000343322754,10.050000190734863,274368
2025-11-21,9.791999816894531,9.960000038146973,9.619999885559082,9.79800033569336,1097929
2025-11-24,10.279999732971191,10.279999732971191,9.904000282287598,9.979999542236328,490061
2025-11-25,10.300000190734863,10.329999923706055,9.960000038146973,10.279999732971191,225718
2025-11-26,10.494999885559082,10.529999732971191,10.279999732971191,10.324999809265137,331710
2025-11-27,10.585000038146973,10.699999809265137,10.454999923706055,10.595000267028809,327822
2025-11-28,10.5,10.569999694824219,10.350000381469727,10.569999694824219,217033
2025-12-01,10.449999809265137,10.510000228881836,10.380000114440918,10.475000381469727,95000
2025-12-02,10.359999656677246,10.489999771118164,10.229999542236328,10.475000381469727,203458
2025-12-03,10.46500015258789,10.5,10.335000038146973,10.399999618530273,108129
2025-12-04,10.359999656677246,10.539999961853027,10.3149995803833,10.5,171206
2025-12-05,10.319999694824219,10.520000457763672,10.319999694824219,10.345000267028809,225302
2025-12-08,10.265000343322754,10.395000457763672,10.15999984741211,10.335000038146973,162315
2025-12-09,10.295000076293945,10.399999618530273,10.255000114440918,10.300000190734863,69759
2025-12-10,10.149999618530273,10.300000190734863,10.0600004196167,10.270000457763672,139343
2025-12-11,10.364999771118164,10.479999542236328,10.119999885559082,10.149999618530273,203476
2025-12-12,10.164999961853027,10.600000381469727,10.164999961853027,10.425000190734863,348631
2025-12-15,10.175000190734863,10.270000457763672,10.079999923706055,10.194999694824219,135585
2025-12-16,10.199999809265137,10.244999885559082,10.010000228881836,10.164999961853027,153390
2025-12-17,10.3149995803833,10.520000457763672,10.25,10.25,229382
2025-12-18,10.364999771118164,10.420000076293945,10.199999809265137,10.274999618530273,143211
2025-12-19,10.244999885559082,10.390000343322754,10.199999809265137,10.3149995803833,93941
2025-12-22,10.300000190734863,10.380000114440918,10.180000305175781,10.255000114440918,194001
2025-12-23,10.079999923706055,10.295000076293945,10.079999923706055,10.25,126061
2025-12-24,10.085000038146973,10.15999984741211,9.970000267028809,10.069999694824219,115463
2025-12-29,10.0600004196167,10.180000305175781,9.979999542236328,10.069999694824219,197877
2025-12-30,10.305000305175781,10.305000305175781,9.970000267028809,9.998000144958496,365226
2025-12-31,10.529999732971191,10.529999732971191,10.194999694824219,10.194999694824219,169305
2026-01-02,11.0600004196167,11.0600004196167,10.5,10.5,553610
2026-01-05,11.085000038146973,11.289999961853027,10.845000267028809,11.25,307442
2026-01-06,10.895000457763672,11.125,10.890000343322754,11.09000015258789,229126
2026-01-07,10.899999618530273,10.90999984741211,10.630000114440918,10.859999656677246,247367
2026-01-08,10.5600004196167,10.890000343322754,10.515000343322754,10.800000190734863,227826
2026-01-09,10.510000228881836,10.710000038146973,10.505000114440918,10.645000457763672,118521
2026-01-12,10.404999732971191,10.579999923706055,10.25,10.484999656677246,183851
2026-01-13,10.885000228881836,10.899999618530273,10.425000190734863,10.430000305175781,321370
2026-01-14,10.600000381469727,10.9350004196167,10.505000114440918,10.904999732971191,213804
2026-01-15,10.6850004196167,10.899999618530273,10.470000267028809,10.829999923706055,276345
2026-01-16,10.960000038146973,10.960000038146973,10.614999771118164,10.680000305175781,290966
2026-01-19,10.614999771118164,10.729999542236328,10.399999618530273,10.71500015258789,368804
2026-01-20,10.619999885559082,10.704999923706055,10.359999656677246,10.555000305175781,192415
2026-01-21,11.039999961853027,11.069999694824219,10.5,10.619999885559082,398102
2026-01-22,11.414999961853027,11.444999694824219,11.085000038146973,11.220000267028809,428779
2026-01-23,11.180000305175781,11.5,11.140000343322754,11.399999618530273,162905
2026-01-26,10.994999885559082,11.194999694824219,10.975000381469727,11.1899995803833,220761
2026-01-27,11.095000267028809,11.375,11.0600004196167,11.09000015258789,200048
2026-01-28,11.109999656677246,11.204999923706055,11.0,11.204999923706055,139635
2026-01-29,10.930000305175781,11.375,10.930000305175781,11.149999618530273,242694
2026-01-30,11.274999618530273,11.34000015258789,10.819999694824219,10.975000381469727,278705
2026-02-02,11.319999694824219,11.319999694824219,10.899999618530273,11.0,190258
2026-02-03,11.430000305175781,11.515000343322754,11.239999771118164,11.354999542236328,259360
2026-02-04,11.444999694824219,11.734999656677246,11.319999694824219,11.454999923706055,235038
2026-02-05,11.03499984741211,11.489999771118164,10.90999984741211,11.489999771118164,245242
2026-02-06,11.020000457763672,11.050000190734863,10.71500015258789,10.989999771118164,263709
2026-02-09,10.975000381469727,11.3100004196167,10.914999961853027,11.055000305175781,310213
2026-02-10,11.1850004196167,11.244999885559082,10.899999618530273,10.96500015258789,218786
